,New South Wales,Victoria,Queensland,South Australia, Western Australia,Tasmania,Northern Territory, Australian Capitol Territory,
Bachelor Degree Level,1217048,1004394,629307,225405,353606,64334,24866,89954,
Population,8072163,6503491,5156139,1781516,2660026,557571,232605,452508,
Percentage,15.07709891,15.44392081,12.20500456,12.65242636,13.29332871,11.53826149,10.69022592,19.87898556,
